ra,dec,parallax,source_id,phot_g_mean_mag,bp_rp,ticid,tmag,dist
264.5172579826537,-31.115845152965935,6.819219904587034,4055361039198269952,14.204732,1.937192,105683712,13.12,6.56242292463368e-05
264.4972931430196,-30.94877269681014,9.70563259998579,4055367528871678208,9.576538,0.7714615,105572777,9.13,8.41428653541596e-05
264.4624854191817,-30.90957109613464,8.042316433645327,4055379421658205312,8.159971,0.7307167,105450514,7.76,3.085767163279634e-05
264.45993185023167,-30.853882104144123,4.481026035440347,4055380963530142848,14.773938,1.9391813,105451325,13.73,3.3185281033310665e-05
264.51464501948504,-30.01648590329177,26.62167119810411,4056991786718343296,11.011767,1.8188705,105559958,9.29,0.00016943203469051764
261.3889894525643,-32.61435156123405,7.804507283371821,4057760856449274368,15.685393,2.7320023,159373178,14.35,4.822056315350493e-05
261.4008277846922,-32.396094567546285,8.739755502158083,4057767663995013504,15.57605,2.3787966,159366757,14.45,9.752300377521512e-05
261.56054961981687,-32.194911493172555,13.864455807213117,4057776769325341312,15.334262,2.7557507,159907493,13.97,0.00012708959691452092
261.8490622599139,-32.33645655367831,14.087985655356158,4057779930422119936,15.137197,2.5662727,160779723,13.8,5.250014911790798e-05
262.11669719687876,-31.973806376467177,9.583667750449322,4057795632823015808,15.130432,2.3860416,161661578,13.93,9.34950843391994e-05
261.6718789494977,-32.0222750225713,8.83627329026298,4057804012278253312,7.501352,0.4160657,160238116,7.3,3.128741057491227e-05
261.99627602094114,-31.949631514228642,4.29490325771922,4057807452572769024,15.017725,2.11168,161125218,13.85,7.087109420108554e-05
261.37721795512283,-32.222267670013316,5.300780954498843,4057822742657164288,15.046333,2.0114594,159000218,13.92,0.00016626920522829893
261.333236593139,-32.1867987493588,9.359977088267899,4057823837848043264,17.586195,3.7122707,159000705,15.9,0.00011555845654341271
261.05045763944463,-32.13148031137019,1.0551432919920511,4057833080618869760,10.972261,0.6584101,158128078,10.16,0.0001349737070939204
261.3917678204242,-31.830821732346795,10.51340958460321,4057867307231590400,15.030694,3.1014376,159357500,12.88,9.734535207591058e-05
261.25781681149687,-31.695230028858337,6.265466278664287,4057872804798459648,10.0790415,0.8148985,159007503,9.71,7.058428630805117e-05
262.2594232833143,-31.766044867565324,7.608317229081299,4057892733473683072,9.532953,0.71784496,161991252,9.12,8.5358862426614e-05
262.3038641730931,-31.534291105052482,0.9394834721204217,4057914208312575360,6.9325466,0.07430315,161988269,6.95,3.176389064472002e-05
262.48495396178043,-31.237879330078908,20.00037632098496,4057951076313879296,15.036797,2.7676544,162663615,13.74,0.00012652937588920275
262.48426320934243,-31.23601987352367,19.93265080878929,4057951145033363968,11.76546,1.8794947,162663639,10.78,0.00014134874121959565
261.8232301039957,-31.442429454011442,15.188687351139377,4057974264787191040,11.860939,1.8021507,160907983,10.84,0.0002036967403684507
261.99256612697275,-31.249342956854804,6.826050813629452,4057983271392010752,16.373865,2.75181,161115712,15.11,7.97346675835088e-05
260.88626589065484,-31.700591082819624,11.936941715808265,4058051269289097600,7.6558504,0.52818346,157504514,7.37,3.0264363437704167e-05
260.55625075427935,-31.65835702596899,11.520467839143837,4058095765154423936,8.904049,0.7574787,156662822,8.47,6.064150480502373e-05
260.4666141843584,-31.54639245924381,8.296116426637768,4058100472438645376,14.3822,2.3019981,156441285,13.16,1.4284601366141447e-05
260.4031606009453,-31.498909413865764,19.16182626163512,4058101636332968448,10.199924,1.3969965,155831639,9.43,0.0001932596939604258
260.3408166929727,-31.526048111501986,0.42616070019321456,4058112906331242112,17.697372,4.403475,155832012,14.44,5.1064805240575734e-05
260.3574039430703,-31.348630767096108,0.7580140797261623,4058119439013996928,9.458612,2.7315102,155829579,8.03,3.056558754263766e-05
260.592758931577,-31.297569349352713,7.509664828955579,4058123699621437312,8.185373,0.49485493,156657732,7.92,4.645691392087601e-05
260.72006596286514,-30.923169240532854,9.252686508159474,4058155546762456576,9.158405,0.6971264,157289823,8.75,6.46987599227515e-05
260.8271865483742,-30.91443292455453,1.536764642570827,4058158677837404928,9.128755,1.8471498,157493302,8.1,6.735434383069695e-05
261.73295839396314,-31.09160734502771,0.5262399263508823,4058176029521597952,6.6790485,3.6557102,160136631,5.25,5.04827424858107e-05
262.10635042297844,-30.7271330795449,8.424459741287933,4058211346998298240,15.730652,2.639431,161763824,14.38,7.896273193844396e-05
262.1059525979733,-30.69233214647798,8.260103354171621,4058213103682638976,15.173184,2.472454,161764261,13.9,7.91374729990821e-05
261.4288234444028,-30.581765930420207,8.953605451288718,4058252303787543808,15.879262,2.6427603,159239474,14.52,0.00013522724342261672
261.34342154835315,-30.642072568859543,4.023396493340116,4058252342506801920,14.689003,1.8691626,159126662,13.63,3.259719568562791e-05
263.03162464931773,-31.31939286044014,3.5133812492844982,4058306905786725120,15.973989,2.5234613,100307410,14.61,2.250008601807504e-05
262.9542166848774,-31.105229955227642,13.619505748705578,4058314529272079488,9.791851,0.99338627,100310036,9.23,0.0001006104504215581
262.95809080089896,-30.733588902157585,6.66149250287439,4058341162448950912,10.4371,0.8104048,100314334,9.93,1.4133194921451475e-05
